home_team,away_team,home_team_goals,away_team_goals,match_date
ross county,motherwell,3,2,2017-11-04T15:00:00+00:00
st. johnstone,celtic,0,4,2017-11-04T12:30:00+00:00
kilmarnock,hibernian,0,3,2017-10-31T19:45:00+00:00
aberdeen,ross county,2,1,2017-10-28T15:00:00+00:00
celtic,kilmarnock,1,1,2017-10-28T15:00:00+00:00
dundee fc,hamilton,1,3,2017-10-28T15:00:00+00:00
motherwell,hibernian,0,1,2017-10-28T15:00:00+00:00
partick thistle,st. johnstone,1,0,2017-10-28T15:00:00+00:00
hearts,rangers,1,3,2017-10-28T12:30:00+00:00
aberdeen,celtic,0,3,2017-10-25T19:45:00+00:00
dundee fc,motherwell,0,1,2017-10-25T19:45:00+00:00
rangers,kilmarnock,1,1,2017-10-25T19:45:00+00:00
hamilton,partick thistle,0,0,2017-10-24T19:45:00+00:00
hibernian,hearts,1,0,2017-10-24T19:45:00+00:00
st. johnstone,ross county,0,0,2017-10-24T19:45:00+00:00
hearts,st. johnstone,1,0,2017-10-21T15:00:00+00:00
partick thistle,dundee fc,2,1,2017-10-21T15:00:00+00:00
ross county,hamilton,2,1,2017-10-21T15:00:00+00:00
celtic,dundee fc,1,0,2017-10-14T15:00:00+00:00
hamilton,motherwell,1,2,2017-10-14T15:00:00+00:00
hibernian,aberdeen,0,1,2017-10-14T15:00:00+00:00
partick thistle,kilmarnock,0,2,2017-10-14T15:00:00+00:00
ross county,hearts,1,2,2017-10-14T15:00:00+00:00
st. johnstone,rangers,0,3,2017-10-13T19:45:00+00:00
aberdeen,st. johnstone,3,0,2017-09-30T15:00:00+00:00
celtic,hibernian,2,2,2017-09-30T15:00:00+00:00
dundee fc,hearts,2,1,2017-09-30T15:00:00+00:00
kilmarnock,ross county,0,2,2017-09-30T15:00:00+00:00
motherwell,partick thistle,3,0,2017-09-30T15:00:00+00:00
hamilton,rangers,1,4,2017-09-29T19:45:00+00:00
motherwell,aberdeen,0,1,2017-09-24T12:15:00+00:00
partick thistle,hearts,1,1,2017-09-23T16:00:00+00:00
kilmarnock,dundee fc,1,1,2017-09-23T15:00:00+00:00
